Powers test of 67 - started 15/04/2026 17:48:09

67^1: steps=27 even=19 odd=8 pct=70.4% peak=304 ms=0.033
67^124: steps=5625 even=3740 odd=1885 pct=66.5% peak=81357349151107314760149936996862695821925957289234182818307183515367411403096526039240541856259282324810937088346858093334841283906550416309820951183472030366310242358900773123374225750925813683763391440984593822108462782822164 ms=1.346
67^125: steps=5078 even=3407 odd=1671 pct=67.1% peak=111887548629707970194405016497036106556767906440671859496430598455658889516738931844801100745553700353172608233247523286445260260557972627402602056051168060429715958476934857831408812804653631474484115158103975754941932751235465880 ms=1.908
67^126: steps=5557 even=3703 odd=1854 pct=66.6% peak=410864782881735827953102200576281221737703825055293777505303565150544848512062843563919641441841408150585833663287676728602615338888567921166634531095431687353662512692743766869680261820394224829715597200902321875875500611099775924 ms=1.550
67^127: steps=6504 even=4286 odd=2218 pct=65.9% peak=36703920604101733963810463251481122475234875038272910790473785153448673133744280691710154635471165794785667807253699121088500303607378734290886018111191897403593851133885109840358103389288550751454593349947274087578211387924913315556 ms=2.270
67^128: steps=5471 even=3655 odd=1816 pct=66.8% peak=7985690677353121633025293107751592905731410312783434654381996414303318657047536308691809542616208126733461445628576794557496095951490232113792752862051311156486822831165821436489615361359909921531195918294071027906264576537635999762280 ms=1.582
67^129: steps=5508 even=3680 odd=1828 pct=66.8% peak=164763899591812683763545169535898758791329354046807096538436821553831093697378076025086884158630063252792862786761855354566277862893523138231787335301140427444732797740010258073367526114516304323279669547913313379138590920394935873519664 ms=1.502
67^130: steps=5023 even=3385 odd=1638 pct=67.4% peak=23576845159461641346863779440357137916928416913207614305352157251427066726936632911992144578984281775750474014923269436766838016574145558517544498490567193059618410273482385844953584212923788629087740917174013570441209559545458553331018068 ms=1.209
67^131: steps=5210 even=3502 odd=1708 pct=67.2% peak=1601200190128504614475724153977794891404330773269122771303928258370072686166392108540716475643919069880490709847725094974330798871105371120827099819366092331572297530113283968468617456619127058486324718649253123044114568555459344130960275140 ms=1.471
67^132: steps=5327 even=3576 odd=1751 pct=67.1% peak=158754686881234962009107258861644788163637495285083470925088750852484153805827817712899105522590661337015816779485834752469503784602009118277885880586234194466940565576493645086994959297722330733962303465791220376565884569199345168854410018256 ms=1.525
67^133: steps=5460 even=3660 odd=1800 pct=67.0% peak=3320177277106467999853934100283409732153891564249049466004721541986658382658202992728724838193537598844682565952435345434362967734788794874808472639920852191430531419927473251677655896204277904891231737900016475413940621406379720574535394765544 ms=1.356
67^134: steps=5267 even=3544 odd=1723 pct=67.3% peak=166838908174600016992660188539241339040733051103514735666737257484829583728574700384618423119225264341945298939109876108076739128673136942459125750156022822619384203851355530896802208784264964720784394829475827889550516225670580958870403586968464 ms=1.350
67^135: steps=5689 even=3805 odd=1884 pct=66.9% peak=14904275796930934851344310176172226287638819231913983052895195001978109479752673234359245798650790281213780038560482265654855362161466900193015233680604705487331655544054427426780997318061003515056739271433173958133179449493238565659089387102515796 ms=1.366
67^136: steps=5982 even=3987 odd=1995 pct=66.6% peak=3416210296139326635249826484609192775713699501073962858513149897247949481099342325487392308994226770365215599953644717129961137112883545114518752509031231338407391891089435243535923784312046266604159081565341658421758969033004851245768001187993742440 ms=1.681
67^137: steps=6053 even=4033 odd=2020 pct=66.6% peak=66905294052422966547684608380837123805210659532061869924446530363879733454609750149038654390143397572368658593098004890524645720742824914966445383992234522932631801737260324718819896960775844779089702589463517898059842548775147921243652258703193397024 ms=1.522
67^138: steps=6051 even=4034 odd=2017 pct=66.7% peak=11346719713203107482946386552587595965339945290015617752499103758899228545567722314338524292978381832038897193273214766902414135202228462922590596841433023623606024625878493195282361900191578425503744248531828488524086422256335242768415650249444705176132 ms=1.677
67^139: steps=5990 even=3999 odd=1991 pct=66.8% peak=337880098126492533936625732899275079856789481969353950852195534153888138912461064471413834502022925665158271977469061947760776470466358673694919994833783370125157177748381797370630332139038113115000384289614448324939462351633093895770599362983464554133208 ms=1.533
67^140: steps=6208 even=4135 odd=2073 pct=66.6% peak=13415091303392592458520843913630477244684382395227682789390874541221040182005861522716875206895132456038876576290623496592576013938516166600035342017104287880524759057269084695604285779742550268862237479943210689049448282998173209491336389522899037112251604 ms=2.076
67^141: steps=6832 even=4520 odd=2312 pct=66.2% peak=4675238275765042839181856948845363162634632708735981618454796812136907170921027781893126654435394476627671111976313895322732969097419126599481803341636784776902202044853754967429452870722530658913375431391506875453675764636197938375680647948637166956339176552 ms=1.705
67^142: steps=6060 even=4049 odd=2011 pct=66.8% peak=85743420710190418674321776975237066023753891377181801957634059588924942960645944768988364245967558505606560268078351310064003411463924459748926281405225502163178796961896467878429313931206407512493288614457105583810991341004189185096519529926340163804957496176 ms=1.613
67^143: steps=6309 even=4204 odd=2105 pct=66.6% peak=6052144658523399428403156866992864841314513353503795338178351399461895562390943393735343306777101084313430953572345192058509409520284906722689644356635505403715402162512132580456047705959062969770719696770239814705868820909069353509364209783113524648488193309636 ms=1.984
67^144: steps=5475 even=3695 odd=1780 pct=67.5% peak=270329128080711841135341006725681296245381596456502858438633029175964668453462138253512001036043848432666582592898085245280086958572725833613470781263052574699287963258875255260370130866171479316425479789070711723528807333938431123418268036979070767632472634496964 ms=1.339
67^145: steps=6179 even=4129 odd=2050 pct=66.8% peak=27168077372111540034101771175930970272660850443878537273082619432184449179572944894477956104122406767482991550586257567150648739336558946278153813516936783757278440307516963153667198152050233671300760718801606528214645137060812327903535937716396612147063499766944784 ms=1.829
67^146: steps=5818 even=3910 odd=1908 pct=67.2% peak=2047793831922907330070421002385796884301811602207344746958602439700902856910310721421275941348226410099030488125439164123980148727493130575715843693839110075704862438179091097707665060710786362974294839179671092064178877205958729215729021305373394640584911294933462912 ms=2.130
67^147: steps=6783 even=4504 odd=2279 pct=66.4% peak=329657060739805321473510555606359360954436202433906270244613465818164349668200473302275791221719776465894475775243197939368186635256050826557812713077509599920241710673278363660163340225588053567180668507253690068560620151734294396882814925011660557814013452663299374392 ms=1.795
67^148: steps=6691 even=4450 odd=2241 pct=66.5% peak=5447434969778922076851034002791017608077530241368160337242765245521394325730598416865249007829444951072324658485983056445953711192720985572970916943196305262126890361473149592657605011870056286454287130712618389496947543571880732118167452823597729506124839586937075545524 ms=1.671
67^149: steps=6392 even=4269 odd=2123 pct=66.8% peak=547467214462781668723528917280497269611791789257500113892897907174900129735925140894957525286859217582768628177841297172818347974868459050083577152791228678843752481328051534062089303692940656788655856636618148144443228128974013577875829008771571815365546378487176092325064 ms=1.823
67^150: steps=6610 even=4405 odd=2205 pct=66.6% peak=27510227526754778853357328093344987797992537410189380723118119835538731519230238329971615645664675683534123565936525182934121985737140067266699751927759241111898562186734589586619987510570268003629956795990061944258272213480944182288260407690771483722118705518980598639334344 ms=1.924
67^151: steps=6947 even=4614 odd=2333 pct=66.4% peak=2457580325723426910899921309672152243287333341976918011265218705308126682384567957477464331012711027729048371890329583008781564059184512675825177838879825539329604888681623336404718884277610608324276140441778867020405651070964346951084596420375585879175937693028933478447201076 ms=1.761
67^152: steps=6741 even=4490 odd=2251 pct=66.6% peak=7218409522335013227388140583829238413171143467335682385013220785948877108534211760571994248117282805810328894614289218404326706320282891596735867580402472154461687378090481320332265717134409561840299095102103223191914439703941232998824850014118650374555249363754685947214399494468 ms=1.846
67^153: steps=6848 even=4558 odd=2290 pct=66.6% peak=11032078082172463403029746759118291420116839372134384952569566768128180677224325561116337381916059803475698141415689498126420441061679277401779223318731536846050596345291807157120783071522194020767675594443145334054600967657558953463418753331066005011620784304006882384749485618944 ms=1.804
67^154: steps=6055 even=4074 odd=1981 pct=67.3% peak=1247314328165624143505050742952811823686960151511943898699896642721492427818675308753715895242884511530471121113811393881918411117536113301238663436474084384656595549289554946701968536023978061473045321896728119331548321905782759175957782798493650191626374925371778139625738717791584 ms=1.574
67^155: steps=6710 even=4478 odd=2232 pct=66.7% peak=55713373324731211743225599851892261458017553434200160808595383374893328442567497124332643320848841515027710076416908926725689029916613060788660300162509102514661267868266787619354594609071020079129357711387189330142491711791629909859447631666049708559311413333272756903282996061356948 ms=1.749
67^156: steps=7396 even=4901 odd=2495 pct=66.3% peak=6726619621499254534580194270594600580990907603555838464487065708147372501548653113572574557963190223864696469246121755961703160777148061217533671213007568347900745386525577738130586353264139481558780905593263048236820298370426176595106965776081974460698188362927256546008031051837568116 ms=1.977
67^157: steps=6991 even=4655 odd=2336 pct=66.6% peak=222308740315305252902524193542350543720036264325444019439808600862129912336609328525448209659813732943075013807142670375174771604707267582115818744381780765500723939076132986331806911288995385897965943792370749247119684705984557035874720372043464125975776830624943471767855439395050058424 ms=1.729
